대학명,지역,전형구분,군,학과명,모집인원,국어비율,수학비율,영어비율,탐구비율,한국사비율,과목별반영비율,비고
서울시립대학교,서울,정시,나군,계열별 대학수학능력시험 반영영역 및 지정과,10,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,학교생활기록부에 기재된 학교폭력 조치사항 등에 대하여 감점 등의 불이익을 부,86,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,학생부,346,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,학생부,424,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,학생부,132,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,학생부,46,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,학교생활기록부,37,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,음악학과,8,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,디자인학과,14,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,자연계열,644,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,스포츠과학과,30,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,디자인학과,57,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,자연계열,102,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,년 전 과,34,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,계열별 대학수학능력시험 반영영역 및 지정과,25,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,계열별 대학수학능력시험 반영영역 및 지정과,33,,,,3%,,탐구:3%,
서울시립대학교,서울,정시,나군,계열별 대학수학능력시험 반영영역 및 지정과,10,,,,3%,,탐구:3%,
성공회대학교,서울,정시,나군,미래융합학부,2,,10%,,,,수학:10%,
성공회대학교,서울,정시,나군,학생부,3,,10%,,,,수학:10%,
세명대학교,충북,정시,다군,간호학과,2,30%,40%,,5%,,국어:30% | 수학:40% | 탐구:5%,
세명대학교,충북,정시,나군,학생부교과,847,30%,5%,10%,15%,,국어:30% | 수학:5% | 영어:10% | 탐구:15%,
세명대학교,충북,정시,나군,학생부교과,236,30%,5%,10%,15%,,국어:30% | 수학:5% | 영어:10% | 탐구:15%,
세명대학교,충북,정시,나군,학생부교과,27,30%,5%,10%,15%,,국어:30% | 수학:5% | 영어:10% | 탐구:15%,
세명대학교,충북,정시,나군,학생부교과,95,30%,5%,10%,15%,,국어:30% | 수학:5% | 영어:10% | 탐구:15%,
세명대학교,충북,정시,나군,학생부교과,4,30%,5%,10%,15%,,국어:30% | 수학:5% | 영어:10% | 탐구:15%,
세명대학교,충북,정시,나군,학생부교과,41,30%,5%,10%,15%,,국어:30% | 수학:5% | 영어:10% | 탐구:15%,
세명대학교,충북,정시,나군,학생부교과,93,30%,5%,10%,15%,,국어:30% | 수학:5% | 영어:10% | 탐구:15%,
세명대학교,충북,정시,나군,학생부,31,30%,5%,10%,15%,,국어:30% | 수학:5% | 영어:10% | 탐구:15%,
세명대학교,충북,정시,나군,학생부교과,35,30%,5%,10%,15%,,국어:30% | 수학:5% | 영어:10% | 탐구:15%,
세명대학교,충북,정시,나군,학생부교과,10,30%,5%,10%,15%,,국어:30% | 수학:5% | 영어:10% | 탐구:15%,
세명대학교,충북,정시,나군,학생부교과,35,30%,5%,10%,15%,,국어:30% | 수학:5% | 영어:10% | 탐구:15%,
세명대학교,충북,정시,나군,의 학생부 교과,66,30%,5%,10%,15%,,국어:30% | 수학:5% | 영어:10% | 탐구:15%,
세명대학교,충북,정시,나군,특성화고교졸업자전형의 경우 동일 계열 인정 전문교과,1,30%,5%,10%,15%,,국어:30% | 수학:5% | 영어:10% | 탐구:15%,
송원대학교,광주,정시,가군,국어교과,10,100%,,,,,국어:100%,
송원대학교,광주,정시,나군,탐구영역반영은 사회 및 과,3,30%,20%,20%,25%,5%,국어:30% | 수학:20% | 영어:20% | 탐구:25% | 한국사:5%,
송원대학교,광주,정시,나군,모집학과 모집학과,3,30%,20%,20%,25%,5%,국어:30% | 수학:20% | 영어:20% | 탐구:25% | 한국사:5%,
수원대학교,경기,정시,다군,전형 유형별로 반영하는 과,10,30%,,,,,국어:30%,
수원대학교,경기,정시,다군,학업계획 및 포부,3,30%,30%,,,,국어:30% | 수학:30%,
순천향대학교,충남,정시,,보건행정경영학전공,3,20%,30%,30%,20%,,국어:20% | 수학:30% | 영어:30% | 탐구:20%,
순천향대학교,충남,정시,나군,학생부교과,5,20%,30%,30%,20%,,국어:20% | 수학:30% | 영어:30% | 탐구:20%,
순천향대학교,충남,정시,나군,학생부교과,1,20%,30%,30%,20%,,국어:20% | 수학:30% | 영어:30% | 탐구:20%,
순천향대학교,충남,정시,나군,지역유형 학생부교과,4,20%,30%,30%,20%,,국어:20% | 수학:30% | 영어:30% | 탐구:20%,
순천향대학교,충남,정시,나군,학생부교과,3,20%,30%,30%,20%,,국어:20% | 수학:30% | 영어:30% | 탐구:20%,
순천향대학교,충남,정시,나군,학생부교과,3,20%,30%,30%,20%,,국어:20% | 수학:30% | 영어:30% | 탐구:20%,
순천향대학교,충남,정시,나군,지역유형 학생부교과,7,20%,30%,30%,20%,,국어:20% | 수학:30% | 영어:30% | 탐구:20%,
순천향대학교,충남,정시,나군,스포츠과학과 스포츠응용산업학과 디지털애니메이션학과,16,20%,30%,30%,20%,,국어:20% | 수학:30% | 영어:30% | 탐구:20%,
순천향대학교,충남,정시,나군,스포츠과학과 스포츠응용산업학과,5,20%,30%,30%,20%,,국어:20% | 수학:30% | 영어:30% | 탐구:20%,
순천향대학교,충남,정시,다군,스포츠과학과 스포츠응용산업학과 공연영상학과,10,20%,30%,30%,20%,,국어:20% | 수학:30% | 영어:30% | 탐구:20%,
신한대학교,경기,정시,가군,품새전공,8,50%,50%,,,,국어:50% | 수학:50%,
신한대학교,경기,정시,가군,실내디자인학과,26,50%,50%,,,,국어:50% | 수학:50%,
신한대학교,경기,정시,가군,시범문화전공,2,50%,50%,,,,국어:50% | 수학:50%,
신한대학교,경기,정시,가군,학생부 교과,375,50%,50%,,,,국어:50% | 수학:50%,
신한대학교,경기,정시,가군,학생부,140,50%,50%,,,,국어:50% | 수학:50%,
신한대학교,경기,정시,가군,학생부 교과,37,50%,50%,,,,국어:50% | 수학:50%,
신한대학교,경기,정시,가군,학생부 교과,24,50%,50%,,,,국어:50% | 수학:50%,
신한대학교,경기,정시,가군,학생부 교과,16,50%,50%,,,,국어:50% | 수학:50%,
신한대학교,경기,정시,가군,석차등급이 있는 과,169,50%,50%,,,,국어:50% | 수학:50%,
신한대학교,경기,정시,가군,학생부,179,50%,50%,,,,국어:50% | 수학:50%,
신한대학교,경기,정시,가군,학생부,12,50%,50%,,,,국어:50% | 수학:50%,
신한대학교,경기,정시,가군,학생부,74,50%,50%,,,,국어:50% | 수학:50%,
신한대학교,경기,정시,가군,교과 및 비교과,19,50%,50%,,,,국어:50% | 수학:50%,
신한대학교,경기,정시,가군,학생부,218,50%,50%,,,,국어:50% | 수학:50%,
신한대학교,경기,정시,가군,공연예술학과,37,50%,50%,,,,국어:50% | 수학:50%,
신한대학교,경기,정시,가군,의정부,26,50%,50%,,,,국어:50% | 수학:50%,
영남대학교,경북,정시,가군,학생부교과,10,,5%,,,,수학:5%,
영남대학교,경북,정시,가군,학생부교과,2,,5%,,,,수학:5%,
영남대학교,경북,정시,가군,학생부교과,5,,5%,,,,수학:5%,
영남대학교,경북,정시,가군,군사학과,30,,5%,,,,수학:5%,
영남대학교,경북,정시,가군,학생부,11,,5%,,,,수학:5%,
영남대학교,경북,정시,가군,체육학부,22,,5%,,,,수학:5%,
영남대학교,경북,정시,가군,특수체육교육과,10,,5%,,,,수학:5%,
영남대학교,경북,정시,가군,생활체육 특수체육교육과,4,,5%,,,,수학:5%,
영남대학교,경북,정시,가군,주 포지션이 지원하는 포지션과,2,,5%,,,,수학:5%,
영남대학교,경북,정시,가군,학생부교과,5,,5%,,,,수학:5%,
영남대학교,경북,정시,가군,스마트모빌리티학과,30,,5%,,,,수학:5%,
원광대학교,전북,정시,,고등학교를 졸업하거나 평생교육시설의 교육과,5,20%,20%,20%,20%,20%,국어:20% | 수학:20% | 영어:20% | 탐구:20% | 한국사:20%,
위덕대학교,경북,정시,나군,간호학과,6,100%,,,,,국어:100%,
위덕대학교,경북,정시,나군,물리치료학과,2,100%,,,,,국어:100%,
위덕대학교,경북,정시,나군,학교생활기록부,8,100%,,,,,국어:100%,
위덕대학교,경북,정시,나군,체육학부,8,100%,,,,,국어:100%,
위덕대학교,경북,정시,나군,체육학부,6,100%,,,,,국어:100%,
위덕대학교,경북,정시,나군,체육학부,8,100%,,,,,국어:100%,
위덕대학교,경북,정시,나군,체육학부,6,100%,,,,,국어:100%,
인제대학교,경남,정시,가군,컴퓨터공학과,0,25%,25%,25%,,,국어:25% | 수학:25% | 영어:25%,
인제대학교,경남,정시,가군,번 모두 파울하면 최하점을 부,1,25%,25%,25%,,,국어:25% | 수학:25% | 영어:25%,
인제대학교,경남,정시,가군,최하점을 부,1,25%,25%,25%,,,국어:25% | 수학:25% | 영어:25%,
전남대학교2028,미상,정시,가군,국제협력과,35,,50%,,,,수학:50%,
전북대학교2028,미상,정시,,수학과학교육계열,2,,15%,,,,수학:15%,
전주대학교,전북,정시,다군,운동처방학과,4,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,축구학과,8,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,생활체육학과,8,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,전형방법 및 실기고사 과,4,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,동물보건학과,2,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,인문콘 사회 중국어중국학과,3,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,경찰학과,2,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,문헌정보학과,2,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,사회 인문 법학과,2,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,대학 사회 사회복지학과,3,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,상담심리학과,2,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,행정학과,2,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,경영 인문 회계세무학과,3,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,간호학과,1,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,물리치료학과,3,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,보건 방사선학과,3,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,보건관리학과,3,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,대학 작업치료학과,3,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,식품영양학과,2,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,예체능 운동처방학과,2,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,재활학과,2,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,건축공학과,2,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,건축학과,3,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,토목환경공학과,2,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,기계공학과,2,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,공학 기계자동차공학과,2,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,소방안전공학과,3,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,신소재화학공학과,2,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,전기전자공학과,2,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,정보통신공학과,2,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,데이터사이언스학과,2,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,웨어 스마트미디어학과,3,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,융합 인공지능학과,2,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,컴퓨터공학과,2,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,공학 게임콘텐츠학과,3,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
전주대학교,전북,정시,다군,산업디자인학과,2,30%,30%,30%,,30%,국어:30% | 수학:30% | 영어:30% | 한국사:30%,
